Plot,Tree_ID,Species1,n,Area_cm2,SLA,Date.Dried
H8,H8T15,Diospyros lanceifolia,3,23.299999999999997,66.72467065055004,2014-05-19T00:00:00Z
H8,H8T20,Alstonia angustifolia,3,49.6,102.58269873022142,2014-05-19T00:00:00Z
H8,H8T21,Alstonia angustifolia,3,46.35,91.58418414256818,2014-05-19T00:00:00Z
H8,H8T26,Macaranga heynei,3,45.7,156.69285714285712,2014-05-19T00:00:00Z
H8,H8T28,Archidendron microcarpum,1,81.8,170.7724425887265,2014-05-19T00:00:00Z
H8,H8T30,Prunus polystachya,3,169.9,139.31522744787912,2014-05-19T00:00:00Z
H8,H8T31,Elaeocarpus salicifolius,3,12.35,165.09622367465505,2014-05-19T00:00:00Z
H8,H8T34,Macaranga heynei,3,40.05,130.7716510238908,2014-05-19T00:00:00Z
H8,H8T60,Prunus polystachya,3,179.60000000000002,141.5174184126131,2014-05-19T00:00:00Z
H8,H8T77,Garcinia parvifolia,3,13.25,136.37378246753246,2014-05-19T00:00:00Z
NN,Syzygium lineatum,Syzygium lineatum,3,19.1,84.15857006561654,2014-06-30T00:00:00Z
