Dataset1,Dataset2,IID,SID,OrgName,AccName,Trait,OrgVal,n
SG02,NA,G13_Fisistigma,NA,Fissistigma latifolium var. ovoideum,NA,WD_twig,0.4985438381361128,1
SG02,NA,G14_24,NA,Memecylon dichotomum,NA,WD_twig,0.7886458409539834,1
SG02,NA,G14_27,NA,Archidendron microcarpum,NA,WD_twig,0.6836608976239366,1
SG02,NA,G14_47,NA,Lithocarpus conocarpus,NA,WD_twig,0.6128618113912232,1
SG02,NA,G14_68,NA,Koompasia malaccensis,NA,WD_twig,0.6547688471515615,1
SG02,NA,G14_8,NA,Archidendron microcarpum,NA,WD_twig,0.6032761831988156,1
SG02,NA,G14_Terentang,NA,Campnosperma auriculatum,NA,WD_twig,0.5299594600614781,1
SG02,NA,G17_10,NA,Timonius wallichianus,NA,WD_twig,0.7154777486910995,1
SG02,NA,G17_102,NA,Strombosia ceylanica,NA,WD_twig,0.6593716907871515,1
SG02,NA,G17_115,NA,Palaquium obovatum,NA,WD_twig,0.36512184814762644,1
SG02,NA,G17_170,NA,Drepananthus ramuliflorus,NA,WD_twig,0.32481916333226246,1
SG02,NA,G17_22,NA,Glycosmis chlorosperma,NA,WD_twig,0.6509211802188668,1
SG02,NA,G17_46,NA,Dacryodes longifolia,NA,WD_twig,0.4136816590358201,1
SG02,NA,G17_50,NA,Garcinia parvifolia,NA,WD_twig,0.6583845904823568,1
SG02,NA,G17_52,NA,Palaquium obovatum,NA,WD_twig,0.4640039103414566,1
SG02,NA,G17_63,NA,Elaeocarpus petiolatus,NA,WD_twig,0.5076302403087177,1
SG02,NA,G17_64,NA,Ardisia teysmanniana,NA,WD_twig,0.5585355470412942,1
SG02,NA,G17_73,NA,Dacryodes puberula,NA,WD_twig,0.6202912504513177,1
SG02,NA,G17_78,NA,Calophyllum wallichianum var. incrassatum,NA,WD_twig,0.5932569825873555,1
SG02,NA,G17_8,NA,Dacryodes rostrata,NA,WD_twig,0.4465083470491418,1
SG02,NA,G17_86,NA,Litsea firma,NA,WD_twig,0.4218117408906883,1
SG02,NA,G17_95,NA,Calophyllum wallichianum var. incrassatum,NA,WD_twig,0.5583867737605727,1
SG02,NA,G17_Macaranga.conifera,NA,Macaranga conifera,NA,WD_twig,0.4017810065030172,1
SG02,NA,G21_11,NA,Dasymaschalon dasymaschalum,NA,WD_twig,0.5763131813676907,1
SG02,NA,G21_12,NA,Ixonanthes reticulata,NA,WD_twig,0.7473562273457643,1
SG02,NA,G21_3,NA,Elaeocarpus ferrugineus,NA,WD_twig,0.6098487372559471,1
SG02,NA,G21_45,NA,Gonystylus confusus,NA,WD_twig,0.5697778663213467,1
SG02,NA,G2_1,NA,Alstonia angustifolia,NA,WD_twig,0.5928503375999338,1
SG02,NA,G2_10,NA,Elaeocarpus mastersii,NA,WD_twig,0.5803599621092517,1
SG02,NA,G2_11,NA,Beilschmiedia madang,NA,WD_twig,0.5189606741573034,1
SG02,NA,G2_112,NA,Phaeanthus ophthalmicus,NA,WD_twig,0.6312938177182918,1
SG02,NA,G2_18,NA,Litsea elliptica,NA,WD_twig,0.4307768309250339,1
SG02,NA,G2_20,NA,Archidendron clypearia,NA,WD_twig,0.39226920008702587,1
SG02,NA,G2_22,NA,Rhodamnia cinerea,NA,WD_twig,0.7639115185993206,1
SG02,NA,G2_4,NA,Syzygium borneense,NA,WD_twig,0.4279151943462898,1
SG02,NA,G2_45,NA,Archidendron clypearia,NA,WD_twig,0.5215051419818684,1
