main_ID	accepted name only from POWO or WCSP (not used in Singapore literature)	type var./subsp.	non-type var./subsp.	Species with infraspecific taxa	In Mockup 7Sep2020	Excluded	Parenthetical authors	Infraspecific taxon	Issues with Full Names with Authors	XinYi	Reuben	Full Names with Authors	name_ID	Leipzig Cat. Vasc. Pl. (1)	Leipzig Cat. Vasc. Pl. (2)	Accepted data source (for Full Name & Author(s))	IPNI	Priority	DJM to check before IPNI	Corrections for Kew	Notes for Kew	Temp_Basionym info for IPNI	IPNI_url	Conflicting Names Data	Issues to resolve (137)	FoS	FoS manuscripts received (author)	Full Name without Authors	Division	Class	Order	Family (Current)	Native	Excluded (Reason)	status_as_sp	status_synrefs_ID	status_synrefs_ID_Ref	status_synrefs_ID_IDandRef	Recent status changes still to reflect in synrefs (& update in FoS manuscripts)	Old status_synrefs_IDandRef(Nov2021)	Very old status_synrefs_IDandRef(Sep2020)	Status in mockup 7 Sep2020	change since mockup	Status (2022)	match	Status in Checklist ms as sent to Printer 4 April 2022	Order in Checklist ms as sent to Printer 4 April 2022	Full status in Checklist ms as sent to Printer 4 April 2022	Status change reason	Historical Casuals	Stu_TempStatus	c. 480 Status changes 2009-2020	Reason for status change 2009-2020	c. 70 Status changes 2008-2009	Chong et al. (2009)	RDB (2008)	Cultivated	Habit	Hybrid	Synonyms in Synrefs	Notes (for admin.)	ys edits	ys refs	other contributor's edits	IPNI_ID	OLD_Selected Synonyms	OLD_Synonyms in synrefs	Status (2022) (COPY)	main_IDof infraspecific groups	stu27	type var./subsp.	non-type var./subsp.	sort	StuA	StuB
3122					no		no	no				Acalypha variegata Rusby	39	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	2			n/a		https://www.ipni.org/n/1569-2					Acalypha variegata	Spermatophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	no			89	Chong et al. (2009)	89 - Chong et al. (2009)				Not in mockup (because Cultivated Only)	n/a	Cultivated Only	Yes		Absent from Checklist ms because Cultivated Only								Cultivated Only		yes	shrub		None					urn:lsid:ipni.org:names:1569-2		none	Cultivated Only						1	1
3118					no		no	no				Acalypha wilkesiana Müll.Arg.	40	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	2			n/a		https://www.ipni.org/n/337939-1					Acalypha wilkesiana	Spermatophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	no			65	Chong et al. (2009)	65 - Chong et al. (2009)				Not in mockup (because Cultivated Only)	n/a	Cultivated Only	Yes		Absent from Checklist ms because Cultivated Only								Cultivated Only		yes	shrub		Acalypha amentacea Roxb. subsp. wilkesiana (Müll. Arg.) Fosberg; Acalypha godseffiana Mast.					urn:lsid:ipni.org:names:337939-1	Acalypha godseffiana Mast.; Acalypha amentacea Roxb. subsp. wilkesiana (Müll.Arg.) Fosberg	Acalypha amentacea Roxb. subsp. wilkesiana (MÃ¼ll. Arg.) Fosberg; Acalypha godseffiana Mast.	Cultivated Only						2	5
4488					yes		yes	no				Acanthorrhynchium papillatum (Harv.) M.Fleisch.	42	n/a	n/a	(Bryo)		1			n/a		n/a (Bryo)			yes		Acanthorrhynchium papillatum	Bryophyta	Bryopsida	Hypnales	Sematophyllaceae	yes			45433	assessed here	45433 - assessed here				Native; NE.	yes	Vulnerable	Yes	Vulnerable	313	Native; VU (assessed here).	Assessed here				common on soil banks & decaying logs in and around forested area							Taxithelium papillatum (Harv.) Broth.; Trichosteleum papillatum (Harv.) A.Jaeger					n/a (Bryo)		Taxithelium papillatum (Harv.) Broth.; Trichosteleum papillatum (Harv.) A.Jaeger	Vulnerable						10	12
553					yes		yes	no				Acanthospermum australe (Loefl.) Kuntze	43	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	1			n/a		https://www.ipni.org/n/1692-2			yes	Beentje	Acanthospermum australe	Spermatophyta	Magnoliopsida	Asterales	Asteraceae	no			55597	Chong et al. (2009)	101 - Chong et al. (2009)	x			"Non-native; naturalised (Chong et al., 2009)."	no	Casual	Yes	Casual	1057	"Non-native, casual* (assessed here)."	Probably no longer in the wild in Singapore as all escaped specimens old		formerly casual				Naturalised		no	herb		Acanthospermum hispidum auct. non DC.					urn:lsid:ipni.org:names:1692-2	Acanthospermum hispidum auct. non DC.; Acanthospermum brasilium Schrank	Acanthospermum brasilium Schrank; Acanthospermum hispidum auct. non DC.	Casual						9	10
191					yes		no	no				Acanthus ebracteatus Vahl	46	ok	Name and authors accepted by LCVP	FoSms (= IPNI & POWO)	x	1			n/a		https://www.ipni.org/n/44857-1			yes	De Kok	Acanthus ebracteatus	Spermatophyta	Magnoliopsida	Lamiales	Acanthaceae	yes			46135	assessed here	46135 - assessed here		114 - De Kok (in prep.)		"Native; VU (De Kok, in prep.)."	no	Vulnerable	Yes	Vulnerable	607	Native; VU (assessed here).							Vulnerable	Vulnerable	yes	shrub		None					urn:lsid:ipni.org:names:44857-1		none	Vulnerable						19	19
192					yes		no	no		LC > VU		Acanthus ilicifolius L.	47	ok	Name and authors accepted by LCVP	FoSms (= IPNI & POWO)	x	1			n/a		https://www.ipni.org/n/44873-1			yes	De Kok	Acanthus ilicifolius	Spermatophyta	Magnoliopsida	Lamiales	Acanthaceae	yes			46136	assessed here	46136 - assessed here		123 - De Kok (in prep.)		"Native; LC (De Kok, in prep.)."	no	Least Concern	Yes	Least Concern	608	Native; LC (assessed here).							Common	"(not listed because ""Common"")"	yes	shrub		None					urn:lsid:ipni.org:names:44873-1		none	Least Concern						11	11
193					yes		no	no		VU > EN		Acanthus volubilis Nees	48		Name but not authors accepted by LCVP {Wall.}	FoSms (= IPNI)	x	1		RG	"POWO has incorrect author. Should be Nees ""in"" Wallich (Wallich vol. 1 p. x of Pl. Asiat. Rar. states Nees did the Acanthaceae)"		https://www.ipni.org/n/44931-1			yes	De Kok	Acanthus volubilis	Spermatophyta	Magnoliopsida	Lamiales	Acanthaceae	yes			46137	assessed here	46137 - assessed here		131 - De Kok (in prep.)		"Native; VU (De Kok, in prep.)."	no	Vulnerable	Yes	Vulnerable	609	Native; VU (assessed here).							Vulnerable	Vulnerable	no	shrub		None					urn:lsid:ipni.org:names:44931-1		none	Vulnerable						14	14
5081					yes		no	no				Acer laurinum Hassk.	49	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	1		IMT	Need to correct publication details in IPNI; name not invalid or illegitimate		https://www.ipni.org/n/781361-1					Acer laurinum	Spermatophyta	Magnoliopsida	Sapindales	Sapindaceae	yes			36398	Wong et al. (2013)	36398 - Wong et al. (2013)				"Native; CR (Wong et al., 2013)."	no	Critically Endangered	Yes	Critically Endangered	3505	"Native; CR (Wong et al., 2013)."												None					urn:lsid:ipni.org:names:781361-1		none	Critically Endangered						2	2
3445					no		no	no				Acer palmatum Thunb.	50	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	2			n/a		https://www.ipni.org/n/927504-1				van Welzen	Acer palmatum	Spermatophyta	Magnoliopsida	Sapindales	Sapindaceae	no			137	Chong et al. (2009)	137 - Chong et al. (2009)				Not in mockup (because Cultivated Only)	n/a	Cultivated Only	Yes		Absent from Checklist ms because Cultivated Only								Cultivated Only		yes	tree		None					urn:lsid:ipni.org:names:927504-1		none	Cultivated Only						1	1
2997					no		yes	no				Achetaria azurea (Linden) V.C.Souza	53	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	2			n/a		https://www.ipni.org/n/77103514-1				De Kok	Achetaria azurea	Spermatophyta	Magnoliopsida	Lamiales	Plantaginaceae	no			25177	Chong et al. (2009)	25177 - Chong et al. (2009)				Not in mockup (because Cultivated Only)	n/a	Cultivated Only	Yes		Absent from Checklist ms because Cultivated Only								Cultivated Only		yes	herb		Otacanthus azureus (Linden) Ronse; Otacanthus coeruleus Lindl.					urn:lsid:ipni.org:names:77103514-1	Otacanthus coeruleus Lindl.; Otacanthus azureus (Linden) Ronse	Otacanthus azureus (Linden) Ronse; Otacanthus coeruleus Lindl.	Cultivated Only						1	3
