ID,species,trait_name,value
ARDITY06,Ardisia teysmanniana,lamina_ldmc,299.534673536607
DACRRO03,Dacryodes rostrata,lamina_ldmc,507.310551509712
DACRRO04,Dacryodes rostrata,lamina_ldmc,450.363905404954
DACRRO06,Dacryodes rostrata,lamina_ldmc,481.774600250675
DACRRO07,Dacryodes rostrata,lamina_ldmc,530.323529020882
DACRRO08,Dacryodes rostrata,lamina_ldmc,490.314660132042
CANAPA01,Canarium patentinervium,lamina_ldmc,383.090612720236
CANAPA02,Canarium patentinervium,lamina_ldmc,452.262358323985
CANAPA03,Canarium patentinervium,lamina_ldmc,452.966475797886
CANAPA04,Canarium patentinervium,lamina_ldmc,460.848107007806
SANTAP01,Santiria apiculata,lamina_ldmc,349.646613378329
SANTAP02,Santiria apiculata,lamina_ldmc,342.20080861007
SANTAP03,Santiria apiculata,lamina_ldmc,351.177662737133
SANTAP04,Santiria apiculata,lamina_ldmc,387.43652589559
CALOPC02,Calophyllum pulcherrimum,K,0.44695348932701
CALOPC02,Calophyllum pulcherrimum,P,0.0248038390492719
CALOPC02,Calophyllum pulcherrimum,N,1.28557825088501
CALOPC02,Calophyllum pulcherrimum,C,48.5971641540527
CALOPC02,Calophyllum pulcherrimum,S,0.0842432603240013
CALOPC01,Calophyllum pulcherrimum,K,0.178382872523729
CALOPC01,Calophyllum pulcherrimum,P,0.0284981101513798
CALOPC01,Calophyllum pulcherrimum,N,1.27462804317474
CALOPC01,Calophyllum pulcherrimum,C,49.9133605957031
CALOPC01,Calophyllum pulcherrimum,S,0
CALOPC04,Calophyllum pulcherrimum,K,0.38684538895299603
CALOPC04,Calophyllum pulcherrimum,P,0.0377209522919976
CALOPC04,Calophyllum pulcherrimum,N,1.33923554420471
CALOPC04,Calophyllum pulcherrimum,C,49.0994415283203
CALOPC04,Calophyllum pulcherrimum,S,0
CALOBM01,Calophyllum ferrugineum,K,0.376383776465282
CALOBM01,Calophyllum ferrugineum,P,0.0254266940914561
CALOBM01,Calophyllum ferrugineum,N,1.21733522415161
CALOBM01,Calophyllum ferrugineum,C,47.2940559387207
CALOBM01,Calophyllum ferrugineum,S,0
CALOBM02,Calophyllum ferrugineum,K,0.320324953833367
CALOBM02,Calophyllum ferrugineum,P,0.0166923814609379
CALOBM02,Calophyllum ferrugineum,N,0.974095225334167
CALOBM02,Calophyllum ferrugineum,C,46.5592079162598
CALOBM02,Calophyllum ferrugineum,S,0
CALOBM03,Calophyllum ferrugineum,K,0.440347715965314
CALOBM03,Calophyllum ferrugineum,P,0.0284160075994312
CALOBM03,Calophyllum ferrugineum,N,1.08131837844849
CALOBM03,Calophyllum ferrugineum,C,46.8485908508301
CALOBM03,Calophyllum ferrugineum,S,0
CALOBM04,Calophyllum ferrugineum,K,0.282531251575726
CALOBM04,Calophyllum ferrugineum,P,0.025816781554488
CALOBM04,Calophyllum ferrugineum,N,1.02974724769592
CALOBM04,Calophyllum ferrugineum,C,46.3452262878418
CALOBM04,Calophyllum ferrugineum,S,0
CALOBM05,Calophyllum ferrugineum,K,0.326840962707845
CALOBM05,Calophyllum ferrugineum,P,0.0254024461192815
CALOBM05,Calophyllum ferrugineum,N,1.00755679607391
CALOBM05,Calophyllum ferrugineum,C,47.1738624572754
CALOBM05,Calophyllum ferrugineum,S,0
CANAPA01,Canarium patentinervium,K,0.652897734194882
CANAPA01,Canarium patentinervium,P,0.0699009060368426
CANAPA01,Canarium patentinervium,N,1.69652676582336
CANAPA01,Canarium patentinervium,C,46.2075538635254
CANAPA01,Canarium patentinervium,S,0
CANAPA02,Canarium patentinervium,K,0.50406968923541
CANAPA02,Canarium patentinervium,P,0.0603705717095682
CANAPA02,Canarium patentinervium,N,1.63395929336548
CANAPA02,Canarium patentinervium,C,46.5493087768555
CANAPA02,Canarium patentinervium,S,0.075767993927002
DACRRO03,Dacryodes rostrata,K,0.573889961104831
DACRRO03,Dacryodes rostrata,P,0.0404893466073997
DACRRO03,Dacryodes rostrata,N,1.49108171463013
DACRRO03,Dacryodes rostrata,C,41.6703224182129
DACRRO03,Dacryodes rostrata,S,0.0617517754435539
