Name.auth,Dispersal,Pollination,Fruit type by Corlett,Fruit Colour,Fruit type,Fruit Shape,Pericarp,Dehiscence,Fruit Description,Aril,Seed Shape,Seed Colour,Fruit Length (cm) min,Fruit Width (cm) min,No. Seed min,Seed Length (mm) min,Seed width (mm) min,Fruit Length (cm) max,Fruit Width (cm) max,No. Seed max,Seed Length (mm) max,Seed width (mm) max,Fruit Length (cm) mean,Fruit Width (cm) mean,No. Seed mean,Seed Length (mm) mean,Seed width (mm) mean
Turraea breviflora Ridl.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,NA,loculicidal capsule,NA,NA,NA,NA,arillate,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
Morella esculenta (Buch.-Ham. ex D.Don) I.M.Turner,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gymnacranthera bancana (Miq.) Sinclair,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,NA,NA,ellipsoid(-oblong),NA,NA,glabrous,laciniate,NA,NA,2.2,1.5,NA,NA,NA,3.5,2.2,NA,NA,NA,NA,NA,NA,NA,NA
Gymnacranthera farquhariana var. eugeniifolia (Hook. f. & Thoms.) Warb. | (A.DC.) R.T.A.Schouten,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,green turning golden yellow to orange,NA,subglobose,NA,NA,very spicy,laciniate,NA,NA,1.8,1.3,NA,NA,NA,2.2,1.8,NA,NA,NA,NA,NA,NA,NA,NA
Gymnacranthera farquhariana var. farquhariana (Hook. f. & Thoms.) Warb.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,yellow to orange,NA,globose to short-ellipsoid,NA,NA,very spicy,laciniate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gymnacranthera farquhariana var. zippeliana (Hook. f. & Thoms.) Warb. | (Miq.) R.T.A.Schouten,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,NA,NA,ellipsoid to oblong,NA,NA,NA,laciniate,NA,NA,1.5,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gymnacranthera forbesii (King) Warb.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,NA,NA,ellipsoid-oblong,1mm,NA,glabrescent or short-pubescent,laciniate,NA,NA,1.8,1,NA,NA,NA,2.4,1.4,NA,NA,NA,NA,NA,NA,NA,NA
Knema cinerea (Poir.) Warb.,NA,NA,dehiscent,NA,NA,subglobose to obovoid,dry pericarp 1mm.,?,NA,arillate,NA,NA,1.2,1,NA,NA,NA,1.8,1.6,NA,NA,NA,NA,NA,NA,NA,NA
Knema communis J. Sinclair,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,greenish yellow or orange,NA,ellipsoid to obovoid,dry pericarp 1mm.,?,NA,arillate,NA,NA,1.5,1,NA,NA,NA,1.8,1.3,NA,NA,NA,NA,NA,NA,NA,NA
Knema conferta (King) Warb.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,rusty or orange,NA,"subglobose, ellipsoid or obovoid",dry pericarp 2-5mm,?,NA,arillate,NA,NA,1.5,1,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA
Knema curtisii var. paludosa (King) Warb. | J. Sinclair,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,"greyish, rusty hair",NA,ellipsoid,pericarp 1-2.5mm,?,glabrescent,arillate,NA,NA,4,1.5,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA
Knema furfuracea (Hook. f. & Thoms.) Warb.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,red(-brown) or apricot,NA,"ovoid, subglobose or obovoid",dry pericarp 3-5mm,?,NA,arillate,NA,NA,2.5,2,NA,NA,NA,3.5,2.8,NA,NA,NA,NA,NA,NA,NA,NA
Knema glaucescens Jack,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,rusty brown scurf,NA,ellipsoid or broadly obovoid,dry pericarp 1-2mm,?,NA,"aril hot then cold, taste like cloves and nutmeg",NA,NA,1.8,1.2,NA,NA,NA,2.2,1.8,NA,NA,NA,NA,NA,NA,NA,NA
Knema globularia (Lam.) Warb.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,yellowish or orange,NA,"ellipsoid, subglobose or pear-shaped",pericarp 2mm,?,glabrescent,arillate,NA,NA,1.2,1,NA,NA,NA,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA
Knema hookeriana (Wall. ex Hook. f. & Thoms.) Warb.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,NA,NA,ellipsoid,"thick wooly hair, dry pericarp 3-8mm",?,NA,arillate,NA,NA,4.5,3,NA,NA,NA,8,4.5,NA,NA,NA,NA,NA,NA,NA,NA
Knema intermedia (Blume) Warb.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,yellow or orange,NA,ellipsoid,dry pericarp 2-3mm,?,NA,arillate,NA,NA,2.5,1.5,NA,NA,NA,4,2.3,NA,NA,NA,NA,NA,NA,NA,NA
Knema latericia ssp. ridleyi Elm. | (Gandoger) de Willde,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,yellow-brown or dark rusty,NA,"broadly ellipsoid to obovoid, sometimes subglobose",dry pericarp (1-)2-3,?,NA,arillate,NA,NA,1,1,NA,NA,NA,3,2.5,NA,NA,NA,NA,NA,NA,NA,NA
Knema laurina (Blume) Warb.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,"yellow, golden-brown or red-brown",NA,ovoid or ellipsoid(-oblong),"hairy, dry pericarp 1.5-2mm",?,NA,arillate,NA,NA,1.5,1,NA,NA,NA,3.5,3,NA,NA,NA,NA,NA,NA,NA,NA
Knema malayana Warb.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,light or dark brown or yellow,NA,ellipsoid or obovoid,dry pericarp 1-1.5mm,?,NA,arillate,NA,NA,1.2,0.8,NA,NA,NA,1.6,1,NA,NA,NA,NA,NA,NA,NA,NA
Knema patentinervia (J.Sinclair) W.J.deWilde,NA,NA,dehiscent,yellow or red,NA,"subglobose, obovoid",dry pericarp 1.5mm,?,NA,red,NA,NA,1.3,1,NA,NA,NA,2.1,1.5,NA,NA,NA,NA,NA,NA,NA,NA
Knema rubens (Sinclair) W. J. de Wilde,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,yellow(-brown) or orange,NA,ellipsoid,dry pericarp 1.5-2mm,?,NA,bright red,NA,NA,1.7,1.2,NA,NA,NA,2.7,2,NA,NA,NA,NA,NA,NA,NA,NA
Decaspermum fruticosum J.R. & G.Forst.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jasminum longipetalum King & Gamble,"ingestion (berries, drupes or aggregate fruits)",insect,simple,black,drupe,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galearia fulva (Tul.) Miq.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,velvety pale,NA,transversely oblong,NA,NA,pulpy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Freycinetia angustifolia Blume,"ingestion (berries, drupes or aggregate fruits)",mammal,simple,NA,spikes?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Freycinetia confusa Ridl.,"ingestion (berries, drupes or aggregate fruits)",mammal,simple,NA,spikes?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Freycinetia corneri B. C. Stone,"ingestion (berries, drupes or aggregate fruits)",mammal,simple,NA,spikes?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Freycinetia javanica Blume,"ingestion (berries, drupes or aggregate fruits)",mammal,simple,NA,spikes?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Freycinetia sumatrana Hemsley var. sumatrana,"ingestion (berries, drupes or aggregate fruits)",mammal,simple,NA,spikes?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paropsia vareciformis (Griff.) Mast.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,yellowish-green,capsule,ovoid to subglobose,"dry, leathery",y,glabrous,white,ovoid,light-brown,NA,2,2,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA
Antidesma velutinosum Blume,others,insect,simple,pink (dry),drupe,obliquely globose,NA,NA,"juicy, dimpled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Aporosa benthamiana Hook. f.,others,insect,dehiscent,glabrous red,NA,ellipsoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,NA,NA,NA,NA
Aporosa confusa Gage,others,insect,dehiscent,red-brown to dark brown (dry),NA,slightly ellipsoid,NA,y,wall thick,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA
Aporosa falcifera Hook. f.,others,insect,dehiscent,NA,NA,ovoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,NA,NA,NA,NA
Aporosa frutescens Blume,others,insect,dehiscent,"deep yellow, cream-brown",NA,depressed globose,NA,NA,glabrous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.905,NA,NA,NA
Aporosa lucida var. lucida (Miq.) Airy Shaw,others,insect,dehiscent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aporosa lunata (Miq.) Kurz,others,insect,dehiscent,pink,NA,globose,NA,NA,tomentose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.508,NA,NA,NA
