Name.auth,Dispersal,Pollination,Fruit type by Corlett,Fruit Colour,Fruit type,Fruit Shape,Pericarp,Dehiscence,Fruit Description,Aril,Seed Shape,Seed Colour,Fruit Length (cm) min,Fruit Width (cm) min,No. Seed min,Seed Length (mm) min,Seed width (mm) min,Fruit Length (cm) max,Fruit Width (cm) max,No. Seed max,Seed Length (mm) max,Seed width (mm) max,Fruit Length (cm) mean,Fruit Width (cm) mean,No. Seed mean,Seed Length (mm) mean,Seed width (mm) mean
Rourea mimosoides (Vahl) Planch.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,NA,NA,narrowly ellipsoid,thin,NA,NA,arillode or testa fleshy,NA,NA,1,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,0.5,1,NA,NA
Rourea minor (Gaertn.) Leenh.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,NA,NA,oblique-ellipsoid to -ovoid,thin,NA,NA,arillode or testa fleshy,NA,NA,1,0.33,NA,NA,NA,3,1,NA,NA,NA,NA,NA,1,NA,NA
Rourea rugosa Planch.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,NA,NA,oblong-ovoid,thin,NA,NA,arillode or testa fleshy,NA,NA,1.25,0.5,NA,NA,NA,1.75,0.75,NA,NA,NA,NA,NA,1,NA,NA
Diospyros ferrea (Willd.) Bakh.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,NA,globose,NA,NA,flesh pulpy,NA,oblong,NA,NA,NA,1,NA,NA,NA,NA,6,NA,NA,1,0.8,NA,NA,NA
Elaeocarpus mastersii King,"ingestion (berries, drupes or aggregate fruits)",insect,simple,blue,drupe,ellipsoid,NA,NA,glabrous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,0.8,1,NA,NA
Elaeocarpus palembanicus (Miq.) Corner,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,ellipsoid,NA,NA,"glabrous, smooth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,0.8,1,NA,NA
Elaeocarpus pedunculatus Wall. ex Mast.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,ellipsoid or ovoid,NA,NA,glabrous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,0.8,1,NA,NA
Suregada multiflora (A. Juss.) Baill.,others,insect,dehiscent,green,NA,globose,thick,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,3,NA,7.62
Dialium platysepalum Baker,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,brown,pods,subglobose to obovoid,firm,n,pulpy mesocarp,NA,roundish to reniform,light brown to blackish,1.5,NA,NA,3,NA,3,NA,NA,13,NA,NA,NA,NA,NA,9
Vitex pinnata L.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,green turn purple then black,drupe,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,0.8,NA,NA,NA
Actinodaphne glomerata (Blume) Nees,"ingestion (berries, drupes or aggregate fruits)",insect,simple,yellow,drupe,depressed globose,NA,NA,apiculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,NA,NA,NA,NA
Cinnamomum sintoc Blume,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,oblong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,0.8,NA,NA,NA
Persea declinata (Blume) Kosterm.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,globose,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Phoebe grandis (Nees) Merr.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,blue-green,NA,ellipsoid,NA,NA,stalk red,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,0.75,NA,NA,NA
Diplectria divaricata (Willd.) Kuntze,"ingestion (berries, drupes or aggregate fruits)",insect,simple,purple,berry,subglobular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.508,NA,NA,NA,NA
Memecylon caeruleum Jack,"ingestion (berries, drupes or aggregate fruits)",insect,simple,pink to dark red turn deep purple to blackish with purple juice,berry,ellipsoid to obovoid,NA,NA,"smooth and glabrous, pulpy or juicy",NA,NA,NA,1,0.6,NA,NA,NA,1.5,0.9,NA,NA,NA,NA,NA,1,NA,NA
Memecylon campanulatum C. B. Clarke,"ingestion (berries, drupes or aggregate fruits)",insect,simple,green turn pink,berry,subglobose,NA,NA,pulpy or juicy,NA,NA,NA,NA,0.7,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,1,NA,NA
Memecylon cantleyi Ridl.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,dark purple,berry,subglobose,NA,NA,"pulpy or juicy, thin smooth exocarp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8,1,NA,NA
Dillenia grandifolia Wall. ex Hook. f. & Thoms.,"ingestion (berries, drupes or aggregate fruits)",insect,NA,dark green,follicle,flattened globular,NA,n,"swollen, less pulpy, acid, 12 carpels 10x7mm, greenish yellow.",0.2mm,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,2.54,3,NA,5.5,3.5
Dillenia indica L.,"ingestion (berries, drupes or aggregate fruits)",insect,NA,yellowish-green,follicle,NA,NA,n,carpel 35x15mm,"colourless, glutinous pulp",NA,NA,NA,8,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,5,NA,NA
Dillenia pulchella (Jack) Gilg,"ingestion (berries, drupes or aggregate fruits)",insect,NA,NA,follicle,NA,NA,y,carpels,"red, membranaceous",obovate,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1.5,1.2,NA,3,2
Dillenia reticulata King,"ingestion (berries, drupes or aggregate fruits)",insect,NA,yellowish-green,follicle,slightly flattened-globular,NA,n,carpel 16x8.5mm,0.2mm,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,3,3.5,NA,3.5,2.5
Memecylon cinereum King,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,berry,NA,NA,NA,pulpy or juicy,NA,NA,NA,NA,0.7,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,1,NA,NA
Memecylon paniculatum Jack,"ingestion (berries, drupes or aggregate fruits)",insect,simple,yellow-green turn purple,berry,globose or ovate,NA,NA,pulpy or juicy,NA,NA,NA,0.6,0.7,NA,NA,NA,1.3,0.9,NA,NA,NA,NA,NA,1,NA,NA
Pternandra tuberculata (Korth.) Nayar,"ingestion (berries, drupes or aggregate fruits)",insect,simple,grey-greeen turn black,berry,subglobose (urn-shaped),NA,NA,NA,NA,quadrangular-rhombic,NA,NA,0.7,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA
Chisocheton patens Blume,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,NA,capsule,subglobose,NA,NA,"stipitate, glabrous to tomentose",half aril,scutiform,NA,NA,NA,NA,5,NA,NA,NA,NA,11,NA,5,4.5,NA,NA,8
Dysoxylum cauliflorum Hiern,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,red,capsule,top-shaped,milky latex,NA,"glabrous, valves bright orange within",bright orange aril at base,NA,black testa,NA,NA,1,NA,NA,NA,NA,4,NA,NA,4,4,NA,20,8
Ardisia lanceolata Roxb.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,black,drupe,globose,NA,NA,fleshy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762,NA,NA,NA
Ardisia teysmanniana Scheff.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,white with black spots,drupe,globose,NA,NA,fleshy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762,NA,NA,NA
Rhodamnia cinerea Jack,"ingestion (berries, drupes or aggregate fruits)",insect,simple,"green turn red, purple then black",berry,rounded,NA,NA,"silky, pulpy",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,8,NA,NA,NA,0.75,NA,NA,NA
Syzygium pustulatum (Duthie) Merr.,"ingestion (berries, drupes or aggregate fruits)",mammal,simple,pale green to white,berry,oblong globose,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1.3,NA,NA,NA,NA
Syzygium rugosum var. rugosum Korth.,"ingestion (berries, drupes or aggregate fruits)",mammal,simple,NA,berry,broadly obconic to slightly turbinate,pulpy,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1,0.75,NA,NA,NA
Euthemis leucocarpa Jack,"ingestion (berries, drupes or aggregate fruits)",insect,simple,red turning white,berry (5 pyrenes),globose,NA,NA,fleshy,NA,NA,NA,NA,0.6,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,4,2
Cansjera rheedii J. F. Gmelin,"ingestion (berries, drupes or aggregate fruits)",insect,simple,orange,drupe,NA,NA,NA,NA,NA,NA,NA,1,0.7,NA,NA,NA,1.3,0.9,NA,NA,NA,NA,NA,NA,0.33,NA
Lepionurus sylvestris Blume,"ingestion (berries, drupes or aggregate fruits)",insect,simple,orange-red,drupe,NA,NA,NA,NA,NA,NA,NA,0.9,0.6,NA,NA,NA,1.6,1,NA,NA,NA,NA,NA,NA,NA,NA
Ziziphus elegans Wall.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,subglobular,NA,NA,fleshy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762,NA,NA,NA
Ziziphus horsfieldii Miq.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,globose,NA,NA,"fleshy, minutely puberulous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gaertnera grisea Hook. f. ex C. B. Clarke,"ingestion (berries, drupes or aggregate fruits)",bird,simple,NA,drupe/ berry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
Gaertnera vaginans ssp. junghuhnii (DC.) Merr. | (Miq.) van Beusekom,"ingestion (berries, drupes or aggregate fruits)",bird,simple,NA,drupe/ berry,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762,2,NA,NA
Gardeniopsis longifolia Miq.,"ingestion (berries, drupes or aggregate fruits)",bird,simple,brown,NA,obconical to ellipsoid,NA,NA,sessile,NA,NA,NA,1,0.5,NA,NA,NA,1.7,1,NA,NA,NA,NA,NA,2,10,4
Lasianthus pterospermus Wight,"ingestion (berries, drupes or aggregate fruits)",bird,simple,black,drupe,subglobose,NA,NA,glabrous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,NA,NA,NA,NA
Mussaenda glabra Vahl,others,insect,simple,green,NA,oblong,NA,NA,baccate oblong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,NA,NA,NA,NA
Timonius finlaysonianus (Wall. ex G. Don) Hook. f.,NA,NA,simple,NA,NA,globular,NA,NA,"epicarp fleshy, nodulose, glabrous",NA,cylindric,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762,NA,NA,NA
Guioa bijuga (Hiern) Radlk.,wind (wing-like structures),insect,dehiscent,red,capsule,NA,NA,NA,glabrous,complete,globose to obovoid,NA,1.2,1.3,NA,8,7,2.3,2.6,NA,10,8,NA,NA,NA,NA,NA
Lepisanthes rubiginosa (Roxb.) Leenh.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,dark purple/ black,drupe,NA,NA,NA,subglabrous,n,oblong-ellipsoid,NA,0.8,0.7,NA,9,NA,1.3,0.8,NA,11,NA,NA,NA,NA,NA,4
Mischocarpus pentapetalus (Roxb.) Radlk.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,red,loculicidal capsule,globose to ellipsoid to obovoid,slightly fleshy,y,shrivel after dehiscence,"thin-fleshy, translucent",ellipsoid to globose,chestnut-brown,1,0.4,NA,8,NA,2,1.4,NA,12,NA,NA,NA,NA,NA,NA
Madhuca sessilis (King & Gamble) Baehni,"ingestion (berries, drupes or aggregate fruits)",mammal,simple,NA,NA,obovoid or globose,NA,NA,glabrous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.016,0.762,NA,NA,NA
Palaquium ridleyi King & Gamble,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,berry,"ellipsoid, round or obovoid",NA,NA,"glabrous, fleshy",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1.524,0.762,NA,12.7,6.35
Pouteria obovata (R. Br.) Baehni,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,obovoid,NA,NA,NA,glabrous,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1.27,0.762,NA,8.89,5.08
Smilax calophylla Wall. ex A.DC.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,red-brown,berry,globose,NA,NA,NA,NA,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762,1,NA,NA
Cantleya corniculata (Becc.) Howard,"ingestion (berries, drupes or aggregate fruits)",insect,simple,green turn brown to blackish,NA,fusiform,NA,NA,"exocarp thin, pulpy, acid and adstringent taste",NA,oblong,NA,NA,0.6,NA,NA,NA,NA,1,NA,NA,NA,3.5,NA,1,25,NA
Symplocos rubiginosa Wall. ex DC.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,"white turn pale blue, drying pale brown",drupe,ovoid,NA,NA,patently pilose to glabrous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,0.8,1,NA,NA
Linostoma pauciflorum Griff.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,NA,ellipsoid,red,NA,crustaceous,NA,same as fruit shape,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA
Ampelocissus cinnamomea (Wall.) Planch.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,red,berry,elliptic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,NA,NA,NA,NA
Leea indica (Burm. f.) Merr.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,purple-black,berry,subglobose,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,6,5,4
Pterisanthes eriopoda (Miq.) Planch.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,black,berry,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762,NA,NA,NA,NA
Friesodielsia latifolia (Hook. f. & Thoms.) Steenis,"ingestion (berries, drupes or aggregate fruits)",insect,simple,yellow-orange,carpel,cylindric-ovoid,NA,NA,NA,NA,NA,NA,1.27,0.762,NA,NA,NA,1.905,1.016,NA,NA,NA,NA,NA,1,NA,NA
Phaeanthus ophthalmicus (Roxb. ex G.Don) J. Sinclair,"ingestion (berries, drupes or aggregate fruits)",insect,simple,orange or dark red,carpel,ovoid,NA,NA,pubescent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.524,NA,1,NA,NA
Santiria rubiginosa Blume,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupaceous,globular or ellipsoid,NA,NA,NA,NA,subglobular,NA,1,0.8,NA,NA,NA,1.4,1,NA,NA,NA,NA,NA,NA,NA,NA
Croton oblongus Burm. f.,wind (wing-like structures),insect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alangium uniloculare (Griff.) King,"ingestion (berries, drupes or aggregate fruits)",insect,simple,yellow,drupe,ovoid,NA,NA,thin pulp,juicy translucent,NA,NA,NA,0.762,NA,NA,NA,NA,1.016,NA,NA,NA,1.778,NA,NA,NA,NA
Elaeocarpus polystachyus Wall. ex C. Muell.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,green,drupe,ellipsoid,NA,NA,hairy becoming glabrous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,0.9,1,NA,NA
Actinodaphne malaccensis Hook. f.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,shining reddish,drupe,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.889,NA,NA,NA
Dendrophthoe falcata (L. f.) Ettingsh.,NA,NA,simple,NA,drupaceous,oblong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.524,NA,NA,NA,NA
Memecylon minutiflorum Miq.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,green turn yellowish to grey green,berry,globose,NA,NA,pulpy or juicy,NA,NA,NA,NA,0.7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
Aglaia odoratissima Blume,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,"yellow, orange or orange-red",capsule,ellipsoid or obovoid,1-1.5mm thick,n,NA,"complete aril pale pink, translucent, gelatinous, sweet",NA,dark brown,1.5,1,NA,NA,NA,2,1.5,NA,NA,NA,NA,NA,1,13,9
Hypserpa nitida Miers,"ingestion (berries, drupes or aggregate fruits)",insect,simple,"yellow, red",drupe,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficus chartacea Wall. ex King,"ingestion (berries, drupes or aggregate fruits)",insect,simple,yellow to orange or red,fake fruit (receptacle),subglobose,NA,NA,"puberulous, glabrous",NA,NA,NA,NA,0.6,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA
Horsfieldia brachiata (King) Warb.,NA,NA,dehiscent,yellow(-green) or yellow-orange,NA,broadly ellipsoid,1.5-4mm,NA,glabrous,arillate,NA,NA,2,1.8,NA,NA,NA,3,2.6,NA,NA,NA,NA,NA,NA,NA,NA
Horsfieldia crassifolia (Hook. f. & Thoms.) Warb.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,dark brown (dry),NA,ovoid to obovoid,1.5-2mm,NA,glabrous,arillate,NA,NA,1.5,1.2,NA,NA,NA,2.2,1.8,NA,NA,NA,NA,NA,NA,NA,NA
Horsfieldia grandis (Hook. f.) Warb.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,yellowish or orange; dark brown or reddish-brown (dry),NA,oboovoid-ellipsoid,pink pericarp 1.5mm,NA,glabrous,arillate,almost globose,grey,1,0.8,NA,NA,8,1.4,1.1,NA,NA,10,NA,NA,NA,NA,NA
Horsfieldia irya (Gaertn.) Warb.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,"yellowish or red, dark brown to blackish (dry)",NA,globose,1-2mm,NA,glabrous,arillate,globose,NA,NA,1.5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
Horsfieldia polyspherula (Hook. f. emend. King) J.Sinclair,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,NA,NA,subglobose or ellipsoid,2-15mm,NA,glabrous,arillate,NA,NA,1.9,1.4,NA,NA,NA,6,5,NA,NA,NA,NA,NA,NA,NA,NA
Horsfieldia punctatifolia J. Sinclair,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,"yellow to red, apricot, orange(-brown) flushed pink, blackish brown (dry)",NA,(broadly) elliipsoid,pink pericarp 10-20mm,NA,glabrous,arillate,NA,NA,4.5,3,NA,NA,NA,8,4.5,NA,NA,NA,NA,NA,NA,NA,NA
Horsfieldia sparsa W. J. de Wilde,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,blackish (dry),NA,ovoid-ellipsoid,"4-20mm, thick fleshy, yellow or orange red, often flushed pink",NA,glabrous,arillate,NA,NA,3,2.5,NA,NA,NA,11,4.5,NA,NA,NA,NA,NA,NA,NA,NA
Horsfieldia sucosa (King) Warb.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,blackish (dry),NA,broadly ovoid-ellipsoid,4mm,NA,glabrous,arillate,NA,NA,2.3,2,NA,NA,NA,7.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA
Horsfieldia superba (Hook.f. & Thoms.) Warb.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,greenish yellow or orange,NA,broadly ovoid-ellipsoid,8-12mm,NA,glabrous,arillate,NA,NA,3.8,2.8,NA,NA,NA,5.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA
Horsfieldia tomentosa Warb.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,yellow to orange,NA,ellipsoid,1.5mm,NA,glabrescent,arillate,NA,NA,1.5,1.3,NA,NA,NA,2,1.6,NA,NA,NA,NA,NA,NA,NA,NA
Horsfieldia wallichii (Hook.f. & Thoms.) Warb.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,"(green-)yellow, orange(-yellow), or red",NA,ovoid-ellipsoid,10-15mm,NA,"glaucous, glabrous",arillate,NA,NA,4,3,NA,NA,NA,7,4.5,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium leptostemon (Korth.) Merr. & L.M.Perry,"ingestion (berries, drupes or aggregate fruits)",mammal,simple,NA,berry,ovoid or globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1,NA,NA
Jasminum elongatum (P. J. Bergius) Willd.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,black,drupe,ellipsoid,NA,NA,didymous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.016,NA,NA,NA,NA
Drypetes laevis (Miq.) Pax & K. Hoffm.,others,insect,simple,NA,drupe,ovoid,NA,n,"leathery, fleshy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1,NA,NA
Ziziphus calophylla Wall. ex Hook.f.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,ovoid to globose,fleshy,NA,mesocarp fleshy,NA,ellipsoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.524,NA,NA,NA,NA
Geophila pilosa Pears.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,black,NA,globular,NA,NA,pulpy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geophila repens var. asiatica (L.) I. M. Johnst. | (Cham. & Schltdl.),"ingestion (berries, drupes or aggregate fruits)",insect,simple,orange,berry,NA,NA,NA,pulpy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.889,NA,NA,NA
Timonius wallichianus (Korth.) Valeton,"ingestion (berries, drupes or aggregate fruits)",bird,simple,NA,NA,ellipsoid,NA,NA,"epicarp fleshy, pubescent",NA,cylindric,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.889,NA,NA,NA
Urophyllum arboreum (Reinw. ex Blume) Korth.,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Urophyllum blumeanum (Wight) Hook. f.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,yellowish orange or red and sometimes finally black,berry,globose,NA,NA,NA,NA,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Urophyllum griffithianum (Wight) Hook. f.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,orange,berry,globose,NA,NA,larger than U. glabrum,NA,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Urophyllum macrophyllum Korth.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,yellowish orange or red and sometimes finally black,berry,globose,NA,NA,NA,NA,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Urophyllum streptopodium Wall. ex Hook.f.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,yellowish orange or red and sometimes finally black,berry,globose,NA,NA,NA,NA,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clausena excavata Burm. f.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,green to pink,berry,ellipsoid,NA,NA,NA,NA,oblong,NA,1,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,1,NA,NA
Maclurodendron porteri (Hook. f.) T. G. Hartley,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,round to ovoid,NA,NA,NA,NA,NA,NA,NA,0.6,NA,4,NA,NA,1.1,NA,8,NA,NA,NA,NA,NA,NA
Meliosma lanceolata Blume,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,globose,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Eurycoma longifolia Jack,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,nut,NA,NA,NA,NA,NA,NA,NA,1,0.5,NA,NA,NA,1.7,1.2,NA,NA,NA,NA,NA,NA,NA,NA
Symplocos celastrifolia Griff. ex C.B.Clarke,"ingestion (berries, drupes or aggregate fruits)",insect,simple,"pink, green, yellow or deep bluish-purple, drying warm-brown",drupe,ovoid to almost globose,NA,NA,glabrous,NA,NA,NA,0.4,0.3,NA,NA,NA,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA
Leea angulata Korth. ex Miq.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,greyish blue,berry,subglobose,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,6,5,3
Leea rubra Blume ex Spreng.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,dark red,berry,subglobose,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Tetrastigma leucostaphylum (Dennst.) Alston ex Mabb.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,berry,globular,NA,NA,NA,NA,obovoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.889,2,NA,NA
Buchanania arborescens (Blume) Blume,"ingestion (berries, drupes or aggregate fruits)",insect,simple,reddish green,drupe,sublentiform,NA,n,"1-locular, endocarp woody",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23,1,1,9.6,6.9
Buchanania sessifolia Blume,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,obliquely subcordate,NA,NA,NA,NA,NA,NA,1,0.8,NA,NA,NA,1.3,1.1,NA,NA,NA,NA,NA,NA,NA,NA
Orophea hastata King,"ingestion (berries, drupes or aggregate fruits)",insect,simple,green mottled with dark red,carpel,globular,NA,NA,glabrous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.016,NA,1,NA,NA
Polyalthia hookeriana King,"ingestion (berries, drupes or aggregate fruits)",insect,simple,red,drupaceous carpel?,ovoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.651,NA,NA,NA,NA
